1940 01 23 10,10,NaN,70000,0,2886,1,-171,1,NaN,NaN,NaN,NaN,NaN
1940 01 23 10,20,NaN,60000,0,4033,1,-204,1,NaN,NaN,NaN,NaN,NaN
1940 01 23 10,10,NaN,50000,0,5364,1,-280,1,NaN,NaN,NaN,NaN,NaN
1940 01 23 10,10,NaN,40000,0,6931,1,-383,1,NaN,NaN,NaN,NaN,NaN
1940 01 23 10,10,NaN,30000,0,8860,1,-486,1,NaN,NaN,NaN,NaN,NaN
1940 01 23 10,10,NaN,20000,0,11487,1,-519,1,NaN,NaN,NaN,NaN,NaN
1940 01 23 10,10,NaN,10000,0,16034,1,-465,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,20,NaN,90000,0,1008,1,-56,0,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,20,NaN,80000,0,1922,1,-90,0,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,10,NaN,70000,0,2954,1,-103,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,20,NaN,60000,0,4130,1,-156,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,10,NaN,50000,0,5484,1,-238,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,10,NaN,40000,0,7079,1,-346,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,10,NaN,30000,0,9030,1,-487,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,10,NaN,20000,0,11630,1,-553,1,NaN,NaN,NaN,NaN,NaN
1940 01 24 11,10,NaN,10000,0,16122,1,-470,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,20,NaN,90000,0,986,1,-108,0,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,20,NaN,80000,0,1896,1,-10,0,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,10,NaN,70000,0,2952,1,-56,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,20,NaN,60000,0,4142,1,-140,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,10,NaN,50000,0,5506,1,-215,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,10,NaN,40000,0,7102,1,-352,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,10,NaN,30000,0,9044,1,-487,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,10,NaN,20000,0,11652,1,-550,1,NaN,NaN,NaN,NaN,NaN
1940 01 25 10,10,NaN,10000,0,16152,1,-486,1,NaN,NaN,NaN,NaN,NaN
1940 01 26 11,20,NaN,90000,0,1031,1,-45,0,NaN,NaN,NaN,NaN,NaN
1940 01 26 11,20,NaN,80000,0,1967,1,-12,0,NaN,NaN,NaN,NaN,NaN
1940 01 26 11,10,NaN,70000,0,3020,1,-61,1,NaN,NaN,NaN,NaN,NaN
1940 01 26 11,20,NaN,60000,0,4221,1,-88,1,NaN,NaN,NaN,NaN,NaN
